0,n-6O6I7pmmpwkW2pCO-zDw,Indigo,['indpak'],1,2,879,4.5,243 K St NE,"Washington, DC",DC
1,CwdlygqT4cWwOtQGsYdoBw,Rasika,['indpak'],1,3,3127,4.5,633 D St NW,"Washington, DC",DC
2,jxTABk0jP7Y_kN3DCNiWbQ,Bombay Street Food,['indpak'],1,2,389,4.0,1413 Park Rd NW,"Washington, DC",DC
3,jj1vSlzf-G1_vTJJ6ftsAA,Pappe,['indpak'],1,2,305,4.0,1317 14th St NW,"Washington, DC",DC
4,0CfNGIodfKdoItAmSWgDDg,RASA,['indpak'],1,2,412,4.5,1247 First St SE,"Washington, DC",DC
5,KsI3nntftxHygmB3obDBDQ,Masala Story,['indpak'],1,2,216,4.5,3301 12th St NE,"Washington, DC",DC
6,A3bc3FwtS5u_ISZt6mnGhQ,Butter Chicken Company 2,['indpak'],1,0,54,4.5,500 H St NE,"Washington, DC",DC
7,JWDgIoAfVCr97wl7AQxVvg,Spice 6 Modern Indian,['indpak'],1,2,310,4.5,740 6th St NW,"Washington, DC",DC
8,wRHR4iAYaqnDzMA7pgK2bA,Punjab Grill,"['indpak', 'cocktailbars', 'vegetarian']",3,0,334,4.5,427 11th St NW,"Washington, DC",DC
9,lpPCrVVMQ6X8mvId_E_BGw,Karma Modern Indian,"['indpak', 'tapasmallplates', 'cocktailbars']",3,3,301,4.5,611 I St NW,"Washington, DC",DC
10,TgLix14aFIt4TZWNXtILdA,Bombay Street Food #2,['indpak'],1,2,166,4.0,524 8th St SE,"Washington, DC",DC
11,xyREZ10uuPkLizBm2BJ7LQ,Glassey,['indpak'],1,0,36,4.5,1625 1st St NW,"Washington, DC",DC
12,02i1RoOkg1Vh6x1-FF-eyg,Rasika West End,['indpak'],1,3,1369,4.0,1190 New Hampshire Ave NW,"Washington, DC",DC
13,b2_iQIqT6lSaI4zvqHwLYw,VEGZ,"['vegetarian', 'vegan', 'indpak']",3,0,100,5.0,2120 18th St NW,"Washington, DC",DC
14,5BRYpLZoMPLJDkt2pyYC0A,Kadhai Boutique Indian Cuisine,['indpak'],1,2,470,4.5,7905 Norfolk Ave,Bethesda,MD
15,FEeEcwNS-TRtDYA5ClCDdQ,Spice 6 Modern Indian,['indpak'],1,2,510,4.0,5501 Baltimore Ave,Hyattsville,MD
16,VuqbeMDjbz-oe6DLR-sqdw,Le Mirch,['indpak'],1,2,392,4.0,1736 Connecticut Ave NW,Washington DC,DC
17,vbaUufa9iCbnITzVo2JXqw,Biryani City,['indpak'],1,0,115,4.5,4830 Boiling Brook Pkwy,North Bethesda,MD
18,3YAqTdLsvsApbJx1BvLFBg,Curry & Pie,"['indpak', 'pizza', 'asianfusion']",3,2,360,4.0,1204 34th St NW,"Washington, DC",DC
19,yRnFnpCJ1Upf5BdjwNQXDw,Salt And Pepper Grill Indian & Pakistani Cuisine,"['indpak', 'pakistani']",2,2,268,4.0,2632 Georgia Ave NW,"Washington, DC",DC
20,mts13gNHEtSC7pYhjcF1_g,Bollywood Bistro Express,['indpak'],1,0,12,5.0,4238 Wilson Blvd,Arlington,VA
21,WmEsbfEJn5WZ0D8dViYT8w,Woodlands Indian Restaurant,"['indpak', 'vegetarian']",2,2,376,4.0,10151 New Hampshire Ave,Silver Spring,MD
22,0Oy1XKhZIpRGXmDsQ7Noqw,Indique,"['indpak', 'bars', 'desserts']",3,2,587,4.0,3512-14 Connecticut Ave NW,"Washington, DC",DC
23,dobXM3ElLUjeJhdSxmXyaw,Bansari Indian Cuisine,"['halal', 'indpak', 'seafood']",3,0,92,4.5,2750 Gallows Rd,Vienna,VA
24,ietdFIjqKIcaJpVAv-RNTQ,Namaste Everest,"['himalayan', 'indpak', 'bars']",3,2,95,4.5,1201 South Joyce St,Arlington,VA
25,xy2BRUHFGnOlRLfzxtcnzw,Jyoti Indian Cuisine,['indpak'],1,2,416,3.5,2433 18th St NW,"Washington, DC",DC
26,c7ob5AWqgIjIQAkSzuRLhA,RASA,"['indpak', 'halal', 'salad']",3,0,43,4.5,485 K St NW,"Washington, DC",DC
27,-moidVHZfxIYpVoRGYtMvQ,Butter Chicken Company,['indpak'],1,0,62,4.0,818 18th St NW,"Washington, DC",DC
28,kd3MW-FkfYyiWbEhljXN8A,Amber Spice,['indpak'],1,2,188,4.5,13524 Baltimore Ave,Laurel,MD
29,XlPNlyqXHBzeKCxr_1-g4A,Namaste,"['indpak', 'himalayan']",2,2,506,4.5,6138 Rose Hill Dr,Alexandria,VA
30,-o8-pURUWD3IhuMIi1-eVQ,Laliguras,"['indpak', 'himalayan']",2,0,38,4.5,2332 Wisconsin Ave NW,"Washington, DC",DC
31,iHo4vAVlJPyoGzWcRRWxog,Bollywood Masala Indian Restaurant,"['indpak', 'cocktailbars']",2,2,376,4.5,120 Rosewick Rd,La Plata,MD
32,ydynMpaZqe4dGNQAvfNGbQ,Raaga Restaurant,"['indpak', 'buffets']",2,2,480,4.0,5872 Leesburg Pike,Falls Church,VA
33,LS_Pwab3SN1NZ78dN3PKWg,Bindaas,['indpak'],1,2,241,3.5,2000 Pennsylvania Ave NW,"Washington, DC",DC
34,tjWftQ-f8OF599jHcuCE4Q,City Kabob and Curry House - Washington,"['pakistani', 'indpak', 'halal']",3,2,145,4.5,204 Michigan Ave NE,"Washington, DC",DC
35,n_97tVbPby5vDKrAMSQyIw,IndAroma,['indpak'],1,2,638,4.0,6548C Little River Tpke,Alexandria,VA
36,IiALhE0hg5JTYtTgMSbiLw,Spice Street,"['indpak', 'seafood']",2,0,19,4.0,8242 Georgia Ave,Silver Spring,MD
37,-ny2KfkxF0yUKE8ZB4CpIQ,Diya Indian Cuisine,['indpak'],1,0,133,4.5,218 N Lee St,Alexandria,VA
38,cXJCK35CyFNagZX0_vLL8A,NaanWise,['indpak'],1,2,50,4.5,2635 Connecticut Ave NW,"Washington, DC",DC
39,vNlPKsF3marM5JkYCb3UTQ,Virraaj,['indpak'],1,0,24,4.5,4914 Cordell Ave,Bethesda,MD
40,mg64AGmhdHQ468A0YYrrbQ,Heritage India,['indpak'],1,2,282,3.5,3238 Wisconsin Ave NW,"Washington, DC",DC
41,Dfo2e7HkCdq_PxzkZs2kYA,Raaga Tandoor,"['indpak', 'bars', 'seafood']",3,0,74,5.0,6030 Burke Commons Rd,Burke,VA
42,mCbWqDS41gzUJn_wrQ1sOQ,Namaste,['indpak'],1,2,362,4.5,2510 Conway Rd,Gambrills,MD
43,oiQsBpU3yEkvgCOEH3p8Pg,Haandi Indian Cuisine,"['indpak', 'buffets']",2,2,438,4.0,1222 W Broad St,Falls Church,VA
